tweet,answer
ይህንን ይህንን መኪና እወዳለሁ ፡፡,Pos
ይህ እይታ አስደናቂ ነው ፡፡,Pos
ዛሬ ጠዋት ጥሩ ስሜት ይሰማኛል ፡፡,Pos
ስለ ኮንሰርት በጣም ተደስቻለሁ ፡፡,Pos
እኔ ዛሬ ደስተኛ ነኝ ፡፡,Pos
ሁሉም ነገር ጥሩ ነው።,Pos
ፍጹም ቆንጆ ነው፡፡,Pos
ሙዚቃውን እወዳለሁ።,Pos
ድንቅ ነህ፡፡,Pos
እሷ አስገራሚ ናት ፡፡,Pos
እሱ አስደናቂ ነው ፡፡,Pos
በጣም ወድጄዋለሁ።,Pos
ወድጀዋለሁ፡፡,Pos
ያ ድንቅ ነው ፡፡,Pos
ጥሩ ነው ፡፡,Pos
ላፕቶፑ በጣም ጥሩ ጥራት አለው ፡፡,Pos
አገሬን እወዳለሁ ፡፡,Pos
ይዘቱን እንዴት እንደምታቀርቡ እወዳለሁ።,Pos
የዝግጅት አቀራረብ ጥሩ ነበር።,Pos
ድስ የሚሉ ጀብዱዎች አሉን፡፡፡፡,Pos
ምግቡ በጣም ጥሩ ነው።,Pos
ሙዚቃ መጫወት ይወዳል።,Pos
እሷ ጥሩ ነገር ታደርጋለች።,Pos
ቆንጆ ናት።,Pos
በጣም እወዳለሁ።,Pos
እሷ ጥሩ ሰው ነች።,Pos
ምግቡ ቆንጆ ነው።,Pos
እሱ መልካም ሰው ነው ፡፡,Pos
እሱ ጥሩronno ነው ፡፡,Pos
ትሑት ናት ፡፡,Pos
አስደሳች ነው ፡፡,Pos
ፊልሙ ጥሩ ስሜት ቀስቃሽ ስሜት አለው።,Pos
እሱ የቅርብ ጓደኛዬ ነው ፡፡,Pos
እሷ ምርጥ ናት!,Pos
እሱ በጣም ጥሩ ሰው ነው ፡፡,Pos
አስደናቂ ቦታ ነው ፡፡,Pos
መጫወት እወዳለሁ።,Pos
እሷ ተወዳጅ ናት ፡፡,Pos
ደፋር ነው ፡፡,Pos
ሕፃኑ ብሩህ ነው ፡፡,Pos
እሱ የተረጋጋ ሰው ነው፡፡,Pos
እሷ ጥሩ ነች።,Pos
እሷ ቆንጆ ናት።,Pos
ደስ የሚል ነው ፡፡,Pos
እሱ ደስተኛ ነው።,Pos
የመልካም እንቅስቃሴ ነው።,Pos
ትምርቱን ተረድቻለሁ ፡፡,Pos
አንድ ቆንጆ ሥራ ሰርተዋል።,Pos
ነፃ ነን፡፡,Pos
እድለኛ ነኝ፡፡,Neg
እኔ ጥሩ አይደለሁም ፡፡,Neg
ለስኬት መንገድ ይህ አይደለም ፡፡,Neg
ጥሩ ምግብ እየበላ አልነበረም ፡፡,Neg
አዝነናል ፡፡,Neg
እነሱ ዴሞክራሲ የላቸውም ፡፡,Neg
ቢክራም ዮጋን አልወደደችም ፡፡,Neg
እነሱ መጥፎዎች ናቸው ፡፡,Neg
ይህንን መኪና አልወድም ፡፡,Neg
ይህ አመለካከት አሰቃቂ ነው ፡፡,Neg
አሰልቺ ነው፡፡,Neg
እሱ መጥፎ ነው ፡፡,Neg
እሱ የሚያስደንቅ ነው።,Neg
እሷ ሰነፍ ነች።,Neg
ይህንን አልመርጥም ፡፡,Neg
ዕድለኛ አይደለህም ፡፡,Neg
ትልቅ ችግር ነው ፡፡,Neg
መጥፎ ባሕርይ አላት ፡፡,Neg
ይህ በጣም አደገኛ ሁኔታ ነው ፡፡,Neg
አገልግሎቱ ጥሩ አይደለም ፡፡,Neg
በጭራሽ ጥሩ አይደለም።,Neg
እያለቀሰች ነው ፡፡,Neg
ሞቶአል።,Neg
ጥሩ አይደለም፡፡,Neg
የሚረብሽ ነው።,Neg
የእርስዎ ጥፋት ነው።,Neg
እርስዎ መጥፎ ሰው ነዎት።,Neg
የጥፋተኝነት ስሜት ተሰምቷት ነበር።,Neg
የተራቀቀ ችግር ነው ፡፡,Neg
ጎጂ ልምምድ ነው ፡፡,Neg
ቅናት ነዎት ፡፡,Neg
አሰቃቂ ነው።,Neg
መጥፎ ነህ ፡፡,Neg
አሰቃቂ ነው ፡፡,Neg
ደስተኛ አይደለሁም ፡፡,Neg
እርስዎ ጥበበኛ ነዎት።,Neg
ጤናማ ያልሆነ ነው ፡፡,Neg
አግባብ ያልሆነ ነው ፡፡,Neg
ደስ የማይል ነው ፡፡,Neg
እሱ ደካማ ነው ፡፡,Neg
እሱ መጥፎ ነው ፡፡,Neg
እሱ አያውቅም ፡፡,Neg
አንቺ አቅም የለሽም ፡፡,Neg
እሱ የማይረባ ሰው ነው።,Neg
ጥያቄው ውድቅ ሆኗል ፡፡,Neg
እኛ ታመናል ፡፡,Neg
የሚያስጨንቅ ነው ፡፡,Neg
እኛ ፈርተናል ፡፡,Neg
እሷ መጥፎ ናት።,Neg
ኮንሰርቱን አልወደድኩትም፡፡,Neg
እርሱ ጠላቴ ነው፡፡,Neg
ቋሚ ኮሚቴው የመንግስት ልማት ድርጅቶች እየተንከባለሉ የመጡ ችግሮቻቸውን እንዲፈቱ አሳሰበ,Nuet
የአዲስ አበባ ከተማ አስተዳደር ምክር ቤት መደበኛ ጉባኤ የተለያዩ ውሳኔዎችን በማሳለፍ ተጠናቀቀ,Nuet
የተማሪዎች የምገባ መርሃ ግብርን አጠናክሮ ማስቀጠል የሚያስችል ህግ እየተዘጋጀ መሆኑ ተገለፀ,Nuet
በብሄራዊ ደህንነት ስጋት ምላሽ አሰጣጥ ስርአት ሰነድ ላይ ውይይት ተደረገ,Nuet
የኦቦ ለማ እና ዶክተር አብይ አለመግባባት መንስዔ ላይ የእኔ የማጣራት ውጤት (ሙክታሮቪች)) - z1SOBmAlV,Nuet
የፕሪቶሪያ የኢፌዴሪ ኤምባሲ ለዝግጅቱ መሳካት አስተዋጽኦ ላደረጉ አካላት በሙሉ ምስጋናውን ያቀርባል።,Pos
የኢትዮጵያ ህዝብ ንብረት በፖለቲካ ሴራ ለግል ተብሎ ለግል ጥቅም ለማዋል እየተሰራ ነው። ~ ~ ~ ለማ ጎረምሳ ~ ሴራ ለማዘናጋት ወሬ ተናግ…,Neg
ደስ ይላል። ኢትዮጵያዊነት የእግዚአብሔር ስጦታ ነው ።   ,Pos
የሚኒስትሮች ምክር ቤት በዛሬው ዕለት ባካሄደው 76ኛ መደበኛ ስብሰባ በተለያዩ ጉዳዮች ላይ ተወያይቶ ውሳኔ አሳልፏል፡፡,Nuet
: ክቡር ጠ/ሚ ዶ/ር አብይ አህመድ በእርስዎ ውስጥ ያለውን ኢትየያዊነት በተለይ የመልካም ስብዕናዎ እና ቅንነትዎ ለሁሉም ቢዳረስ ብዬ እ…,Pos
ኢትዮዽያ በዕሴት ሰንሰለት ልማት ላይ በማተኮር፣ የአምስት ሚሊዮን አርሶአደሮችን ገቢ በእጥፍ ለማሳደግ የታቀደው የገበያ-መር ኩታ ገጠም የግብርና ልማት ፕሮጀክት በስፋት መጀመሩን፣,Nuet
የፖለቲካ አጀንዳችሁን መቼ ይሆን ራሱን ችሎ ከጠላት ትርክት የሚወጣው? ሁሌ ነፍጠኛ ካላላችሁ ፖለቲካ አይመስላችሁም። ,Neg
ውህደቱ እንዲቀላጠፍ ያደረግነው እኛ ነን።,Neg
ኣብይ እየሰራ ያው ለኢትዮጵያውን ውድመት ለውጭ ወራሪች ጥቅም ብቻ ነው,Neg
 መንግሥት ምንም ዓይነት ስሜት አይሰማው,Neg
ይኸ ህዝብ ወዴት ይሂድ አረ ግራ ገባን::,Neg
ለዛ ሁሉ ማሽቋለጥ ግን ይቺ ትንሽ ናት??,Neg
“ጉራጌን ስትፍቀው ብትውል ጠንካራና ታታሪ ኢትዮጵያዊ ነው የሚወጣው”  !!!,Pos
እንስራ፣ እንጠንክር፣ እንተባበር,Pos
የሚገርም ትዝታ,Pos
ምን ምንያህል የዐብይ ትልቅነት ያሳያል ሀሳብን የሚፈራ የመንደር ቦዘኔ ነው,Pos
በድርጊትዎ ምክንያት ቤተሰቦችዎ ደም ይፈስሳሉ።,Neg
አማራ ጠንካራ ባህል ያለው ፣ መልካም ፣ ብልህ ፣ ጥበበኛ እንዲሁም ባለፀጋ ህዝብ ነዉ,Pos
SBS Laguage | “አቶ ለማ መገርሣ መድረክ ላይ ሆነው ውህደቱ አስፈላጊ አይደለም፤ የመደመር ዕሳቤው አያስኬድም አላሉም። አማራጭም አላቀረቡም።”,Neg
አሻንጉሊት መሪ,Neg
የሚገርም የጤና ልማት ሠራዊት,Pos
ሰው ነገረኛ ነው,Neg
በሀገር ተስፋ መቁረጥ እና በሀገር መሪ ተስፋ መቁረጥ ይለያያሉ!u,Nuet
ፍትህ በሌለበት ሀገር ደሞክራሲ አለ ማለት ህዝብን መዋሸት ነው፤ ኢትዮጵያ ውስጥ ከቀበሌ ሊቀመንበር እስከ ምንስቴር ያለው አመራር ቅናተኛና ቅመኛ ነው፤,Neg
ሚኒሶታዎች እናመሰግናለን!!!!,Pos
Wow!! ድል ለዲሞክራሲ!! ድል ለኢትዮጵያዊነት!!,Pos
ክቡር ጠ/ሚ ዶ/ር አብይ አህመድ ከሚቃወሙት ይልቅ የሚደግፉት ይበልጣሉ ያም ይለፍልፍ አብይ መሪያችን ነው ሰላምና  ድሞክራሲ ገና ያብባል ለማም ቢሆን በስተመጨረሻ ለኢት/ያ ህዝብ አድ…,Pos
ሱፐር ስፖርት ስመጥር የስፖርት ጋዜጠኞችን ወደ ኮሜንታተር ፖናሉ በይፋ ቀላቅሏል። ,Pos
በ 28ዓመት ለመጀመሪያ ጊዜ እድል ና  አቶ በረከት አልተገናኝቶምe,Pos
አሁን ይህ ምን ጥቅም ይሰጣል? ስራወ ቢመሰክር አይሻልም ጌታው?,Neg
የአዲስ አበባ ከተማ አስተዳደር ምክር ቤት መደበኛ ጉባኤ የተለያዩ ውሳኔዎችን በማሳለፍ ተጠናቀቀ,Nuet
የተማሪዎች የምገባ መርሃ ግብርን አጠናክሮ ማስቀጠል የሚያስችል ህግ እየተዘጋጀ መሆኑ ተገለፀ,Nuet
የአዲሱ ውህድ ፓርቲ ፕሮግራም አምስት ዋና መሠረታዊ ጉዳዮች ላይ አተኩሯልu,Nuet
በድንገተኛ ሕመም ሆስፒታል የተወሰዱ መምህራንና ተማሪዎች ጉዳይ እየተመረመረ ነው,Nuet
"30,000 ዜጎች ነፃ ሕክምና የሚያገኙበት ዓለም አቀፍ መድረክ ተዘጋጀ ",Pos
የተዛባ የአመጋገብ ሥርዓትe,Neg
እስክንድርዬ የኛ አንበሳ የኢትዮጵያ ቁርጥ ልጅ በርታ ትልቅ ዜና ነው ደስ የሚል እልልልልልልል!!!,Pos
የሩስያ ላሞች ጭንቀት መቀነሻ ቴክኖሎጂ ተገጠመላቸው,Pos
አርቲፊሻል እና ውሸታም የተባሉ ሲንግሎቿ አይረቡም።…,Neg
ኦነግ ከሁሉም የፖለቲካ ድርጅቶች ጋር መልካም ግንኙነት ለመፍጠር ለውይይት ዝግጁ መሆኑን አስታወቀue,Pos
የወንድ ቆንጆ ይመቸኛል::,Pos
የወንድ ቆንጆም ምርጥ ስራ ነው,Pos
ካድሬዎች ታከለ ኡማን ጨምሮ ተስፋ ቁረጡ,Neg
በብልፅግና እና በኢዜማ መካከል ያለው ልዩነት ምንድነው?,Nuet
መልካም የዋዜማ ምሽት ይሁንልን  አሜን አሜን…,Pos
